Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15155992,3877648,3877648,11278344,383317,357693,140080,6269538,416568,
15149992,3871248,3871248,11278744,383317,357693,140480,6269538,416568,
15153992,3877648,3877648,11276344,383317,357693,138080,6269538,416568,
15154424,3877648,3877648,11276776,383317,357693,138512,6269538,416568,
15148424,3871248,3871248,11277176,383317,357693,138912,6269538,416568,
15151280,3873696,3873696,11277584,383317,357693,139320,6269538,416568,
15155632,3877648,3877648,11277984,383317,357693,139720,6269538,416568,
15149664,3871248,3871248,11278416,383317,357693,140152,6269538,416568,
15152520,3873696,3873696,11278824,383317,357693,140560,6269538,416568,
15154056,3877648,3877648,11276408,383317,357693,138144,6269538,416568,
15146448,3869744,3869744,11276704,383317,357693,138552,6269538,416568,
15150808,3873704,3873704,11277104,383317,357693,138952,6269538,416568,
15155160,3877648,3877648,11277512,383317,357693,139360,6269538,416568,
15147768,3869744,3869744,11278024,383317,357693,139760,6269538,416568,
15152128,3873704,3873704,11278424,383317,357693,140160,6269538,416568,
15156504,3877648,3877648,11278856,383317,357693,140592,6269538,416568,
15146200,3869744,3869744,11276456,383317,357693,138192,6269538,416568,
15150568,3873704,3873704,11276864,383317,357693,138600,6269538,416568,
15154912,3877648,3877648,11277264,383317,357693,139000,6269538,416568,
15146480,3868808,3868808,11277672,383317,357693,139408,6269538,416568,
15151776,3873704,3873704,11278072,383317,357693,139808,6269538,416568,
15156040,3877648,3877648,11278392,383317,357693,140240,6269538,416568,
15134776,3858816,3858816,11275960,383317,357693,137696,6269538,416568,
15140464,3864280,3864280,11276184,383317,357693,137920,6269538,416568,
15145200,3868808,3868808,11276392,383317,357693,138128,6269538,416568,
15146120,3869744,3869744,11276376,383317,357693,138112,6269538,416568,
15140928,3864848,3864848,11276080,383317,357693,137816,6269538,416568,
15147808,3871248,3871248,11276560,383317,357693,138296,6269538,416568,
15148216,3871248,3871248,11276968,383317,357693,138704,6269538,416568,
15143600,3867304,3867304,11276296,383317,357693,138032,6269538,416568,
15146488,3869752,3869752,11276736,383317,357693,138472,6269538,416568,
15150840,3873704,3873704,11277136,383317,357693,138872,6269538,416568,
15144736,3867304,3867304,11277432,383317,357693,139280,6269538,416568,
15149736,3873704,3873704,11276032,383317,357693,137880,6269538,416568,
15154288,3877648,3877648,11276640,383317,357693,138376,6269538,416568,
15148296,3871248,3871248,11277048,383317,357693,138784,6269538,416568,
15151160,3873704,3873704,11277456,383317,357693,139192,6269538,416568,
15155512,3877648,3877648,11277864,383317,357693,139600,6269538,416568,
15148008,3869744,3869744,11278264,383317,357693,140000,6269538,416568,
15152360,3873696,3873696,11278664,383317,357693,140400,6269538,416568,
15153856,3877648,3877648,11276208,383317,357693,137944,6269538,416568,
15146392,3869744,3869744,11276648,383317,357693,138384,6269538,416568,
15150752,3873696,3873696,11277056,383317,357693,138792,6269538,416568,
15155000,3877648,3877648,11277352,383317,357693,139200,6269538,416568,
15146672,3868808,3868808,11277864,383317,357693,139600,6269538,416568,
15151968,3873704,3873704,11278264,383317,357693,140000,6269538,416568,
15156344,3877648,3877648,11278696,383317,357693,140432,6269538,416568,
15144488,3868232,3868232,11276256,383317,357693,137992,6269538,416568,
15150400,3873704,3873704,11276696,383317,357693,138432,6269538,416568,
15154752,3877648,3877648,11277104,383317,357693,138840,6269538,416568,
15155160,3877648,3877648,11277512,383317,357693,139248,6269538,416568,
15149160,3871248,3871248,11277912,383317,357693,139648,6269538,416568,
15155992,3877648,3877648,11278344,383317,357693,140080,6269538,416568,
15156400,3877648,3877648,11278752,383317,357693,140488,6269538,416568,
15147440,3871248,3871248,11276192,383317,357693,138040,6269538,416568,
15154272,3877648,3877648,11276624,383317,357693,138472,6269538,416568,
15154672,3877648,3877648,11277024,383317,357693,138872,6269538,416568,
15148680,3871248,3871248,11277432,383317,357693,139280,6269538,416568,
15151536,3873704,3873704,11277832,383317,357693,139680,6269538,416568,
15155880,3877648,3877648,11278232,383317,357693,140080,6269538,416568,
15149880,3871248,3871248,11278632,383317,357693,140480,6269538,416568,
15149936,3873704,3873704,11276232,383317,357693,138080,6269538,416568,
15154424,3877648,3877648,11276776,383317,357693,138512,6269538,416568,
15146920,3869744,3869744,11277176,383317,357693,138912,6269538,416568,
15151288,3873704,3873704,11277584,383317,357693,139320,6269538,416568,
15155520,3877648,3877648,11277872,383317,357693,139720,6269538,416568,
15148048,3869744,3869744,11278304,383317,357693,140152,6269538,416568,
